gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	georeferencedBy	georeferencedDate	georeferenceSources	georeferenceRemarks	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1697809738	902c8fe7-8f38-45b0-854e-c324fed36303	MW0692258	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica		AM		Lori	present		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	41.037278	44.405028				gbif			1950				1929-08-16T00:00:00	16	8	1929	3039491	3039491	PRESERVED_SPECIMEN	Moscow State University	MW	MW0692258	668	Identified by the collector		CC_BY_4_0	Moscow State University	Smirnov P.			2020-04-22T20:46:15.892Z	StillImage	COORDINATE_ROUNDED
1231078191	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Armenia, Sjunik province, Kapan district, N Kapan, around Jeritzavank, 46°28’59"N 39°16’56"E	Syunik			4e11d750-bafb-11d9-8e53-b8a03c50a862	39.28222	46.48306				gbif			1687				2004-06-20T00:00:00	20	6	2004	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2006-0004131		Alijanpoor		CC_BY_4_0		Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.], Tamanyan,K., Oganesyan,M., Ter-Voskanyan,H. & Vitek,E.			2020-04-26T06:27:42.174Z		
1231078035	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Armenia, Syunik province, area SW of Goris, c. 1,5 km S of Tatev, SW of Tandzatap, small valley and slopes SW of the road [at road 1520 m, 39°22’03“N 46°14’51“E; highest point 1680 m, 39°21’46“N 46°14’54“E; farest to W 1530 m, 39°21’54“N 46°14’37“E]	Syunik			4e11d750-bafb-11d9-8e53-b8a03c50a862	39.36528	46.24583				gbif			1600	80			2003-07-08T00:00:00	8	7	2003	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2005-0017556		Alijanpoor		CC_BY_4_0		Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.], Tamanyan,K., Ter-Voskanyan,H. & Vitek,E.			2020-04-26T06:27:40.031Z		
1231078073	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Armenia, Syunik province, eastern part of Zangezur Mts., W of road from Goris to Kapan, valley around village Ghurdghulagh, 39°20’N 46°23-24’E	Syunik			4e11d750-bafb-11d9-8e53-b8a03c50a862	39.33333	46.38333				gbif			1485	115			2003-07-05T00:00:00	5	7	2003	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2005-0018925		Alijanpoor		CC_BY_4_0		Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.], Tamanyan,K., Ter-Voskanyan,H. & Vitek,E.			2020-04-26T06:27:39.801Z		
1231077999	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Armenia, Syunik province, eastern part of Zangezur Mts., W of road from Goris to Kapan, valley around village Ghurdghulagh, 39°20’N 46°23-24’E	Syunik			4e11d750-bafb-11d9-8e53-b8a03c50a862	39.33333	46.38333				gbif			1485	115			2003-07-06T00:00:00	6	7	2003	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2005-0018749		Alijanpoor		CC_BY_4_0		Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.], Tamanyan,K., Ter-Voskanyan,H. & Vitek,E.			2020-04-26T06:27:39.748Z		
1231081522	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.		AM	Armenia, Syunik province, SSE Sisian, between Darbas and Ltsen	Syunik			4e11d750-bafb-11d9-8e53-b8a03c50a862	39.46417	46.13333				gbif			1400				2007-06-14T00:00:00	14	6	2007	3039491	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2009-0020533		Oganesian & al.		CC_BY_4_0		Oganesyan,M., Ter-Voskanyan,H. & Vitek,E.			2020-04-26T06:27:40.055Z		
575291371	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00405896	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.		AM	Meghri, Vartanadzor	Syunik			98e934b0-5f31-11de-b67e-b8a03c50a862	38.980044	46.209795	2000	Laura Kostyniuk	30/4/2020	Google Maps							1934-09-23T00:00:00	23	9	1934	3039491	3039491	PRESERVED_SPECIMEN	E	E	E00405896				CC_BY_NC_4_0		Takhtadzhjan, A.			2020-02-10T23:27:58.334Z	StillImage	
895354813	834b7330-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.	L.	AM	provincia de Syunik, pr. Devil´s Bridge	Syunik			a6deb94a-2c40-47ec-a678-3d502cd42bc2	39.395712	46.257642	200	Laura Kostyniuk	30/4/2020	Google Maps											3039491	3039491	PRESERVED_SPECIMEN	SALA	SALA	127162-1	RG-55	E. Rico		CC_BY_NC_4_0		C. Aedo, I. Aizpuru, S. Castroviejo, G. Feyvush, M. A. García, R. Gonzalo, J. Güemes, A. Herrero, L.			2020-02-11T05:35:17.733Z		ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;RECORDED_DATE_INVALID
574940003	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00405891	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.		AM	Zangezur	Syunik			98e934b0-5f31-11de-b67e-b8a03c50a862	39.150998	46.000172	1000	Laura Kostyniuk	30/4/2020	Google Maps, Wikipedia							1959-07-08T00:00:00	8	7	1959	3039491	3039491	PRESERVED_SPECIMEN	E	E	E00405891				CC_BY_NC_4_0		Gabrielian, E.			2020-02-10T23:27:39.895Z	StillImage	
2521378734	838475f4-f762-11e1-a439-00145eb45e9a	399fd595-ad2c-4f28-b9dd-9414060f4ec2	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.	L.	AM	Ijevan distr, c. 6 km N of Dilijan, E of Aghartsin monastery,	Tavush			6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	40.77	44.83				gbif			1460	0			2002-06-13T00:00:00	13	6	2002	3039491	3039491	PRESERVED_SPECIMEN	BC	BC	BC-900285				CC_BY_NC_4_0		G. Fayvush & al.			2020-02-19T08:28:48.499Z		GEODETIC_DATUM_ASSUMED_WGS84
1936659608	834c9918-f762-11e1-a439-00145eb45e9a	5d5ec24c-20fe-11e3-9e2e-000c29035824	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.	L.	AM	prov. Tavush, Haghartsin monastery	Tavush			0363cbd4-f666-455e-8e86-0bbddcf51950	40.804722	44.893056				gbif			1430				2005-06-21T00:00:00	21	6	2005	3039491	3039491	PRESERVED_SPECIMEN	MA	MA	MA-01-00742321	17483			CC_BY_NC_4_0		Santiago Castroviejo Bolíbar			2020-02-11T00:03:27.253Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
895350791	834b7330-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.	L.	AM	provincia de Tavush, Dilijan, Haghartsin monastery	Tavush			a6deb94a-2c40-47ec-a678-3d502cd42bc2	40.799999	44.880001				gbif											3039491	3039491	PRESERVED_SPECIMEN	SALA	SALA	128462-1	SC 17483			CC_BY_NC_4_0		C. Aedo, I. Aizpuru, S. Castroviejo, G. Feyvush, M. A. García, R. Gonzalo, J. Güemes, A. Herrero, L.			2020-02-11T05:35:17.706Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
